gene,virus_1,virus_2,n identities,count gaps as mismatches,n sites,percent_identity,virus_1_accession,virus_2_accession
ORF1a,CoVZC45,SARS-CoV-2_Wuhan-Hu-1,11907,no,13080,91.032,MG772933,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,CoVZXC21,11835,no,13016,90.927,MN908947.3,MG772934
ORF1a,CoVZXC21,SARS-CoV-2_Wuhan-Hu-1,11835,no,13016,90.927,MG772934,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,Rc-0319,10126,no,12994,77.928,MN908947.3,LC556375.1
ORF1a,Rc-0319,SARS-CoV-2_Wuhan-Hu-1,10126,no,12994,77.928,LC556375.1,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,PrC31,12605,no,13098,96.236,MN908947.3,MW703458
ORF1a,PrC31,SARS-CoV-2_Wuhan-Hu-1,12605,no,13098,96.236,MW703458,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,RpYN06,12722,no,13098,97.129,MN908947.3,MZ081381
ORF1a,RpYN06,SARS-CoV-2_Wuhan-Hu-1,12722,no,13098,97.129,MZ081381,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,RmYN05,9760,no,13023,74.944,MN908947.3,MZ081376.1
ORF1a,RmYN05,SARS-CoV-2_Wuhan-Hu-1,9760,no,13023,74.944,MZ081376.1,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,RmYN08,9757,no,13023,74.921,MN908947.3,MZ081378
ORF1a,RmYN08,SARS-CoV-2_Wuhan-Hu-1,9757,no,13023,74.921,MZ081378,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,RsYN04,9758,no,13023,74.929,MN908947.3,MZ081380.1
ORF1a,RsYN04,SARS-CoV-2_Wuhan-Hu-1,9758,no,13023,74.929,MZ081380.1,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,GX_PangolinP4L,10863,no,13069,83.12,MN908947.3,MT040333
ORF1a,GX_PangolinP4L,SARS-CoV-2_Wuhan-Hu-1,10863,no,13069,83.12,MT040333,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,BANAL-20-52,12716,no,13074,97.262,MN908947.3,MZ937000.1
ORF1a,BANAL-20-52,SARS-CoV-2_Wuhan-Hu-1,12716,no,13074,97.262,MZ937000.1,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,BANAL-20-236,12684,no,13077,96.995,MN908947.3,MZ937003.2
ORF1a,BANAL-20-236,SARS-CoV-2_Wuhan-Hu-1,12684,no,13077,96.995,MZ937003.2,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,BANAL-20-247,12701,no,13095,96.991,MN908947.3,MZ937004.1
ORF1a,BANAL-20-247,SARS-CoV-2_Wuhan-Hu-1,12701,no,13095,96.991,MZ937004.1,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,BANAL-20-116,12694,no,13082,97.034,MN908947.3,MZ937002.1
ORF1a,BANAL-20-116,SARS-CoV-2_Wuhan-Hu-1,12694,no,13082,97.034,MZ937002.1,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,BANAL-20-103,12755,no,13077,97.538,MN908947.3,MZ937001.1
ORF1a,BANAL-20-103,SARS-CoV-2_Wuhan-Hu-1,12755,no,13077,97.538,MZ937001.1,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,RaTG15,9763,no,13023,74.967,MN908947.3,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz
ORF1a,RaTG15,SARS-CoV-2_Wuhan-Hu-1,9763,no,13023,74.967,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,RmYN02,12701,no,13095,96.991,MN908947.3,data/GISAID/EPI_ISL_412977.fasta
ORF1a,RmYN02,SARS-CoV-2_Wuhan-Hu-1,12701,no,13095,96.991,data/GISAID/EPI_ISL_412977.fasta,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,RShSTT182,12269,no,13080,93.8,MN908947.3,data/GISAID/EPI_ISL_852604.fasta
ORF1a,RShSTT182,SARS-CoV-2_Wuhan-Hu-1,12269,no,13080,93.8,data/GISAID/EPI_ISL_852604.fasta,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,RShSTT200,12268,no,13080,93.792,MN908947.3,data/GISAID/EPI_ISL_852605.fasta
ORF1a,RShSTT200,SARS-CoV-2_Wuhan-Hu-1,12268,no,13080,93.792,data/GISAID/EPI_ISL_852605.fasta,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,GD_Pangolin,11744,no,13071,89.848,MN908947.3,data/GISAID/EPI_ISL_410721.fasta
ORF1a,GD_Pangolin,SARS-CoV-2_Wuhan-Hu-1,11744,no,13071,89.848,data/GISAID/EPI_ISL_410721.fasta,MN908947.3
ORF1a,SARS-CoV-2_Omicron_BA.5,SARS-CoV-2_Omicron_BA.5,13092,no,13092,100,ON972631.1,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,RaTG13,12562,no,13089,95.974,ON972631.1,MN996532.2
ORF1a,RaTG13,SARS-CoV-2_Omicron_BA.5,12562,no,13089,95.974,MN996532.2,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,SARS-CoV-1,9869,no,12990,75.974,ON972631.1,AY278488.2
ORF1a,SARS-CoV-1,SARS-CoV-2_Omicron_BA.5,9869,no,12990,75.974,AY278488.2,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,RacCS271,12208,no,13050,93.548,ON972631.1,MW251312
ORF1a,RacCS271,SARS-CoV-2_Omicron_BA.5,12208,no,13050,93.548,MW251312,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,RacCS264,12209,no,13050,93.556,ON972631.1,MW251311
ORF1a,RacCS264,SARS-CoV-2_Omicron_BA.5,12209,no,13050,93.556,MW251311,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,RacCS253,12209,no,13050,93.556,ON972631.1,MW251310
ORF1a,RacCS253,SARS-CoV-2_Omicron_BA.5,12209,no,13050,93.556,MW251310,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,RacCS224,12208,no,13050,93.548,ON972631.1,MW251309
ORF1a,RacCS224,SARS-CoV-2_Omicron_BA.5,12208,no,13050,93.548,MW251309,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,RacCS203,12210,no,13050,93.563,ON972631.1,MW251308
ORF1a,RacCS203,SARS-CoV-2_Omicron_BA.5,12210,no,13050,93.563,MW251308,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,CoVZC45,11888,no,13071,90.949,ON972631.1,MG772933
ORF1a,CoVZC45,SARS-CoV-2_Omicron_BA.5,11888,no,13071,90.949,MG772933,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,CoVZXC21,11820,no,13007,90.874,ON972631.1,MG772934
ORF1a,CoVZXC21,SARS-CoV-2_Omicron_BA.5,11820,no,13007,90.874,MG772934,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,Rc-0319,10108,no,12985,77.844,ON972631.1,LC556375.1
ORF1a,Rc-0319,SARS-CoV-2_Omicron_BA.5,10108,no,12985,77.844,LC556375.1,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,PrC31,12587,no,13089,96.165,ON972631.1,MW703458
ORF1a,PrC31,SARS-CoV-2_Omicron_BA.5,12587,no,13089,96.165,MW703458,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,RpYN06,12701,no,13089,97.036,ON972631.1,MZ081381
ORF1a,RpYN06,SARS-CoV-2_Omicron_BA.5,12701,no,13089,97.036,MZ081381,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,RmYN05,9741,no,13014,74.85,ON972631.1,MZ081376.1
ORF1a,RmYN05,SARS-CoV-2_Omicron_BA.5,9741,no,13014,74.85,MZ081376.1,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,RmYN08,9738,no,13014,74.827,ON972631.1,MZ081378
ORF1a,RmYN08,SARS-CoV-2_Omicron_BA.5,9738,no,13014,74.827,MZ081378,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,RsYN04,9739,no,13014,74.835,ON972631.1,MZ081380.1
ORF1a,RsYN04,SARS-CoV-2_Omicron_BA.5,9739,no,13014,74.835,MZ081380.1,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,GX_PangolinP4L,10853,no,13060,83.101,ON972631.1,MT040333
ORF1a,GX_PangolinP4L,SARS-CoV-2_Omicron_BA.5,10853,no,13060,83.101,MT040333,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,BANAL-20-52,12698,no,13065,97.191,ON972631.1,MZ937000.1
ORF1a,BANAL-20-52,SARS-CoV-2_Omicron_BA.5,12698,no,13065,97.191,MZ937000.1,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,BANAL-20-236,12671,no,13068,96.962,ON972631.1,MZ937003.2
ORF1a,BANAL-20-236,SARS-CoV-2_Omicron_BA.5,12671,no,13068,96.962,MZ937003.2,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,BANAL-20-247,12685,no,13086,96.936,ON972631.1,MZ937004.1
ORF1a,BANAL-20-247,SARS-CoV-2_Omicron_BA.5,12685,no,13086,96.936,MZ937004.1,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,BANAL-20-116,12678,no,13073,96.979,ON972631.1,MZ937002.1
ORF1a,BANAL-20-116,SARS-CoV-2_Omicron_BA.5,12678,no,13073,96.979,MZ937002.1,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,BANAL-20-103,12736,no,13068,97.459,ON972631.1,MZ937001.1
ORF1a,BANAL-20-103,SARS-CoV-2_Omicron_BA.5,12736,no,13068,97.459,MZ937001.1,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,RaTG15,9744,no,13014,74.873,ON972631.1,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz
ORF1a,RaTG15,SARS-CoV-2_Omicron_BA.5,9744,no,13014,74.873,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,RmYN02,12682,no,13086,96.913,ON972631.1,data/GISAID/EPI_ISL_412977.fasta
ORF1a,RmYN02,SARS-CoV-2_Omicron_BA.5,12682,no,13086,96.913,data/GISAID/EPI_ISL_412977.fasta,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,RShSTT182,12250,no,13071,93.719,ON972631.1,data/GISAID/EPI_ISL_852604.fasta
ORF1a,RShSTT182,SARS-CoV-2_Omicron_BA.5,12250,no,13071,93.719,data/GISAID/EPI_ISL_852604.fasta,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,RShSTT200,12249,no,13071,93.711,ON972631.1,data/GISAID/EPI_ISL_852605.fasta
ORF1a,RShSTT200,SARS-CoV-2_Omicron_BA.5,12249,no,13071,93.711,data/GISAID/EPI_ISL_852605.fasta,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,GD_Pangolin,11729,no,13062,89.795,ON972631.1,data/GISAID/EPI_ISL_410721.fasta
ORF1a,GD_Pangolin,SARS-CoV-2_Omicron_BA.5,11729,no,13062,89.795,data/GISAID/EPI_ISL_410721.fasta,ON972631.1
ORF1a,RaTG13,RaTG13,13098,no,13098,100,MN996532.2,MN996532.2
ORF1a,RaTG13,SARS-CoV-1,9853,no,12999,75.798,MN996532.2,AY278488.2
ORF1a,SARS-CoV-1,RaTG13,9853,no,12999,75.798,AY278488.2,MN996532.2
ORF1a,RaTG13,RacCS271,12187,no,13056,93.344,MN996532.2,MW251312
ORF1a,RacCS271,RaTG13,12187,no,13056,93.344,MW251312,MN996532.2
ORF1a,RaTG13,RacCS264,12188,no,13056,93.352,MN996532.2,MW251311
ORF1a,RacCS264,RaTG13,12188,no,13056,93.352,MW251311,MN996532.2
ORF1a,RaTG13,RacCS253,12188,no,13056,93.352,MN996532.2,MW251310
ORF1a,RacCS253,RaTG13,12188,no,13056,93.352,MW251310,MN996532.2
ORF1a,RaTG13,RacCS224,12187,no,13056,93.344,MN996532.2,MW251309
ORF1a,RacCS224,RaTG13,12187,no,13056,93.344,MW251309,MN996532.2
ORF1a,RaTG13,RacCS203,12187,no,13056,93.344,MN996532.2,MW251308
ORF1a,RacCS203,RaTG13,12187,no,13056,93.344,MW251308,MN996532.2
ORF1a,RaTG13,CoVZC45,11882,no,13077,90.862,MN996532.2,MG772933
ORF1a,CoVZC45,RaTG13,11882,no,13077,90.862,MG772933,MN996532.2
ORF1a,RaTG13,CoVZXC21,11815,no,13013,90.794,MN996532.2,MG772934
ORF1a,CoVZXC21,RaTG13,11815,no,13013,90.794,MG772934,MN996532.2
ORF1a,RaTG13,Rc-0319,10111,no,12994,77.813,MN996532.2,LC556375.1
ORF1a,Rc-0319,RaTG13,10111,no,12994,77.813,LC556375.1,MN996532.2
ORF1a,RaTG13,PrC31,12501,no,13095,95.464,MN996532.2,MW703458
ORF1a,PrC31,RaTG13,12501,no,13095,95.464,MW703458,MN996532.2
ORF1a,RaTG13,RpYN06,12606,no,13095,96.266,MN996532.2,MZ081381
ORF1a,RpYN06,RaTG13,12606,no,13095,96.266,MZ081381,MN996532.2
ORF1a,RaTG13,RmYN05,9736,no,13023,74.76,MN996532.2,MZ081376.1
ORF1a,RmYN05,RaTG13,9736,no,13023,74.76,MZ081376.1,MN996532.2
ORF1a,RaTG13,RmYN08,9733,no,13023,74.737,MN996532.2,MZ081378
ORF1a,RmYN08,RaTG13,9733,no,13023,74.737,MZ081378,MN996532.2
ORF1a,RaTG13,RsYN04,9734,no,13023,74.745,MN996532.2,MZ081380.1
ORF1a,RsYN04,RaTG13,9734,no,13023,74.745,MZ081380.1,MN996532.2
ORF1a,RaTG13,GX_PangolinP4L,10853,no,13066,83.063,MN996532.2,MT040333
ORF1a,GX_PangolinP4L,RaTG13,10853,no,13066,83.063,MT040333,MN996532.2
ORF1a,RaTG13,BANAL-20-52,12540,no,13071,95.938,MN996532.2,MZ937000.1
ORF1a,BANAL-20-52,RaTG13,12540,no,13071,95.938,MZ937000.1,MN996532.2
ORF1a,RaTG13,BANAL-20-236,12567,no,13074,96.122,MN996532.2,MZ937003.2
ORF1a,BANAL-20-236,RaTG13,12567,no,13074,96.122,MZ937003.2,MN996532.2
ORF1a,RaTG13,BANAL-20-247,12591,no,13092,96.173,MN996532.2,MZ937004.1
ORF1a,BANAL-20-247,RaTG13,12591,no,13092,96.173,MZ937004.1,MN996532.2
ORF1a,RaTG13,BANAL-20-116,12583,no,13079,96.208,MN996532.2,MZ937002.1
ORF1a,BANAL-20-116,RaTG13,12583,no,13079,96.208,MZ937002.1,MN996532.2
ORF1a,RaTG13,BANAL-20-103,12524,no,13074,95.793,MN996532.2,MZ937001.1
ORF1a,BANAL-20-103,RaTG13,12524,no,13074,95.793,MZ937001.1,MN996532.2
ORF1a,RaTG13,RaTG15,9738,no,13023,74.775,MN996532.2,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz
ORF1a,RaTG15,RaTG13,9738,no,13023,74.775,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz,MN996532.2
ORF1a,RaTG13,RmYN02,12566,no,13092,95.982,MN996532.2,data/GISAID/EPI_ISL_412977.fasta
ORF1a,RmYN02,RaTG13,12566,no,13092,95.982,data/GISAID/EPI_ISL_412977.fasta,MN996532.2
ORF1a,RaTG13,RShSTT182,12202,no,13077,93.309,MN996532.2,data/GISAID/EPI_ISL_852604.fasta
ORF1a,RShSTT182,RaTG13,12202,no,13077,93.309,data/GISAID/EPI_ISL_852604.fasta,MN996532.2
ORF1a,RaTG13,RShSTT200,12201,no,13077,93.301,MN996532.2,data/GISAID/EPI_ISL_852605.fasta
ORF1a,RShSTT200,RaTG13,12201,no,13077,93.301,data/GISAID/EPI_ISL_852605.fasta,MN996532.2
ORF1a,RaTG13,GD_Pangolin,11781,no,13068,90.152,MN996532.2,data/GISAID/EPI_ISL_410721.fasta
ORF1a,GD_Pangolin,RaTG13,11781,no,13068,90.152,data/GISAID/EPI_ISL_410721.fasta,MN996532.2
ORF1a,SARS-CoV-1,SARS-CoV-1,13032,no,13032,100,AY278488.2,AY278488.2
ORF1a,SARS-CoV-1,RacCS271,9874,no,12962,76.177,AY278488.2,MW251312
ORF1a,RacCS271,SARS-CoV-1,9874,no,12962,76.177,MW251312,AY278488.2
ORF1a,SARS-CoV-1,RacCS264,9874,no,12962,76.177,AY278488.2,MW251311
ORF1a,RacCS264,SARS-CoV-1,9874,no,12962,76.177,MW251311,AY278488.2
ORF1a,SARS-CoV-1,RacCS253,9876,no,12962,76.192,AY278488.2,MW251310
ORF1a,RacCS253,SARS-CoV-1,9876,no,12962,76.192,MW251310,AY278488.2
ORF1a,SARS-CoV-1,RacCS224,9879,no,12962,76.215,AY278488.2,MW251309
ORF1a,RacCS224,SARS-CoV-1,9879,no,12962,76.215,MW251309,AY278488.2
ORF1a,SARS-CoV-1,RacCS203,9876,no,12962,76.192,AY278488.2,MW251308
ORF1a,RacCS203,SARS-CoV-1,9876,no,12962,76.192,MW251308,AY278488.2
ORF1a,SARS-CoV-1,CoVZC45,9976,no,12998,76.75,AY278488.2,MG772933
ORF1a,CoVZC45,SARS-CoV-1,9976,no,12998,76.75,MG772933,AY278488.2
ORF1a,SARS-CoV-1,CoVZXC21,9974,no,12963,76.942,AY278488.2,MG772934
ORF1a,CoVZXC21,SARS-CoV-1,9974,no,12963,76.942,MG772934,AY278488.2
ORF1a,SARS-CoV-1,Rc-0319,9723,no,12965,74.994,AY278488.2,LC556375.1
ORF1a,Rc-0319,SARS-CoV-1,9723,no,12965,74.994,LC556375.1,AY278488.2
ORF1a,SARS-CoV-1,PrC31,9959,no,12998,76.619,AY278488.2,MW703458
ORF1a,PrC31,SARS-CoV-1,9959,no,12998,76.619,MW703458,AY278488.2
ORF1a,SARS-CoV-1,RpYN06,9876,no,12998,75.981,AY278488.2,MZ081381
ORF1a,RpYN06,SARS-CoV-1,9876,no,12998,75.981,MZ081381,AY278488.2
ORF1a,SARS-CoV-1,RmYN05,9211,no,12967,71.034,AY278488.2,MZ081376.1
ORF1a,RmYN05,SARS-CoV-1,9211,no,12967,71.034,MZ081376.1,AY278488.2
ORF1a,SARS-CoV-1,RmYN08,9208,no,12967,71.011,AY278488.2,MZ081378
ORF1a,RmYN08,SARS-CoV-1,9208,no,12967,71.011,MZ081378,AY278488.2
ORF1a,SARS-CoV-1,RsYN04,9209,no,12967,71.019,AY278488.2,MZ081380.1
ORF1a,RsYN04,SARS-CoV-1,9209,no,12967,71.019,MZ081380.1,AY278488.2
ORF1a,SARS-CoV-1,GX_PangolinP4L,9818,no,12986,75.604,AY278488.2,MT040333
ORF1a,GX_PangolinP4L,SARS-CoV-1,9818,no,12986,75.604,MT040333,AY278488.2
ORF1a,SARS-CoV-1,BANAL-20-52,9881,no,12995,76.037,AY278488.2,MZ937000.1
ORF1a,BANAL-20-52,SARS-CoV-1,9881,no,12995,76.037,MZ937000.1,AY278488.2
ORF1a,SARS-CoV-1,BANAL-20-236,9877,no,12998,75.989,AY278488.2,MZ937003.2
ORF1a,BANAL-20-236,SARS-CoV-1,9877,no,12998,75.989,MZ937003.2,AY278488.2
ORF1a,SARS-CoV-1,BANAL-20-247,9877,no,12998,75.989,AY278488.2,MZ937004.1
ORF1a,BANAL-20-247,SARS-CoV-1,9877,no,12998,75.989,MZ937004.1,AY278488.2
ORF1a,SARS-CoV-1,BANAL-20-116,9866,no,12982,75.998,AY278488.2,MZ937002.1
ORF1a,BANAL-20-116,SARS-CoV-1,9866,no,12982,75.998,MZ937002.1,AY278488.2
ORF1a,SARS-CoV-1,BANAL-20-103,9879,no,12998,76.004,AY278488.2,MZ937001.1
ORF1a,BANAL-20-103,SARS-CoV-1,9879,no,12998,76.004,MZ937001.1,AY278488.2
ORF1a,SARS-CoV-1,RaTG15,9210,no,12967,71.026,AY278488.2,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz
ORF1a,RaTG15,SARS-CoV-1,9210,no,12967,71.026,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz,AY278488.2
ORF1a,SARS-CoV-1,RmYN02,9858,no,12998,75.842,AY278488.2,data/GISAID/EPI_ISL_412977.fasta
ORF1a,RmYN02,SARS-CoV-1,9858,no,12998,75.842,data/GISAID/EPI_ISL_412977.fasta,AY278488.2
ORF1a,SARS-CoV-1,RShSTT182,9829,no,12995,75.637,AY278488.2,data/GISAID/EPI_ISL_852604.fasta
ORF1a,RShSTT182,SARS-CoV-1,9829,no,12995,75.637,data/GISAID/EPI_ISL_852604.fasta,AY278488.2
ORF1a,SARS-CoV-1,RShSTT200,9828,no,12995,75.629,AY278488.2,data/GISAID/EPI_ISL_852605.fasta
ORF1a,RShSTT200,SARS-CoV-1,9828,no,12995,75.629,data/GISAID/EPI_ISL_852605.fasta,AY278488.2
ORF1a,SARS-CoV-1,GD_Pangolin,9886,no,12999,76.052,AY278488.2,data/GISAID/EPI_ISL_410721.fasta
ORF1a,GD_Pangolin,SARS-CoV-1,9886,no,12999,76.052,data/GISAID/EPI_ISL_410721.fasta,AY278488.2
ORF1a,RacCS271,RacCS271,13059,no,13059,100,MW251312,MW251312
ORF1a,RacCS271,RacCS264,13051,no,13059,99.939,MW251312,MW251311
ORF1a,RacCS264,RacCS271,13051,no,13059,99.939,MW251311,MW251312
ORF1a,RacCS271,RacCS253,13053,no,13059,99.954,MW251312,MW251310
ORF1a,RacCS253,RacCS271,13053,no,13059,99.954,MW251310,MW251312
ORF1a,RacCS271,RacCS224,13052,no,13059,99.946,MW251312,MW251309
ORF1a,RacCS224,RacCS271,13052,no,13059,99.946,MW251309,MW251312
ORF1a,RacCS271,RacCS203,13052,no,13059,99.946,MW251312,MW251308
ORF1a,RacCS203,RacCS271,13052,no,13059,99.946,MW251308,MW251312
ORF1a,RacCS271,CoVZC45,11733,no,13041,89.97,MW251312,MG772933
ORF1a,CoVZC45,RacCS271,11733,no,13041,89.97,MG772933,MW251312
ORF1a,RacCS271,CoVZXC21,11661,no,12977,89.859,MW251312,MG772934
ORF1a,CoVZXC21,RacCS271,11661,no,12977,89.859,MG772934,MW251312
ORF1a,RacCS271,Rc-0319,10081,no,12955,77.816,MW251312,LC556375.1
ORF1a,Rc-0319,RacCS271,10081,no,12955,77.816,LC556375.1,MW251312
ORF1a,RacCS271,PrC31,12172,no,13059,93.208,MW251312,MW703458
ORF1a,PrC31,RacCS271,12172,no,13059,93.208,MW703458,MW251312
ORF1a,RacCS271,RpYN06,12226,no,13059,93.621,MW251312,MZ081381
ORF1a,RpYN06,RacCS271,12226,no,13059,93.621,MZ081381,MW251312
ORF1a,RacCS271,RmYN05,9702,no,12981,74.74,MW251312,MZ081376.1
ORF1a,RmYN05,RacCS271,9702,no,12981,74.74,MZ081376.1,MW251312
ORF1a,RacCS271,RmYN08,9699,no,12981,74.717,MW251312,MZ081378
ORF1a,RmYN08,RacCS271,9699,no,12981,74.717,MZ081378,MW251312
ORF1a,RacCS271,RsYN04,9700,no,12981,74.725,MW251312,MZ081380.1
ORF1a,RsYN04,RacCS271,9700,no,12981,74.725,MZ081380.1,MW251312
ORF1a,RacCS271,GX_PangolinP4L,10819,no,13030,83.031,MW251312,MT040333
ORF1a,GX_PangolinP4L,RacCS271,10819,no,13030,83.031,MT040333,MW251312
ORF1a,RacCS271,BANAL-20-52,12215,no,13035,93.709,MW251312,MZ937000.1
ORF1a,BANAL-20-52,RacCS271,12215,no,13035,93.709,MZ937000.1,MW251312
ORF1a,RacCS271,BANAL-20-236,12263,no,13038,94.056,MW251312,MZ937003.2
ORF1a,BANAL-20-236,RacCS271,12263,no,13038,94.056,MZ937003.2,MW251312
ORF1a,RacCS271,BANAL-20-247,12242,no,13059,93.744,MW251312,MZ937004.1
ORF1a,BANAL-20-247,RacCS271,12242,no,13059,93.744,MZ937004.1,MW251312
ORF1a,RacCS271,BANAL-20-116,12235,no,13043,93.805,MW251312,MZ937002.1
ORF1a,BANAL-20-116,RacCS271,12235,no,13043,93.805,MZ937002.1,MW251312
ORF1a,RacCS271,BANAL-20-103,12218,no,13038,93.711,MW251312,MZ937001.1
ORF1a,BANAL-20-103,RacCS271,12218,no,13038,93.711,MZ937001.1,MW251312
